id	filename	md5	size	state
89bbceb0-7f92-42bb-b8d8-652d6bb9f8f0	d637d039-a319-4a5d-a99e-54e8f81096e7_wxs_gdc_realn.bam	36c012cdd0aedf75b1d913ec66b409f1	18222619120	released
41ce9e95-5463-44bb-8fd8-ef46178f1e8f	7cecfbbc-5fe4-4413-95fd-07533aacbb73_wxs_gdc_realn.bam	4904336020b8f0d92141c84250930a83	18260397223	released
26387bed-74f0-45f8-9c3c-baaf839cad98	057cfa86-07f6-4d77-b2e7-ca68d4dc4d5a_wxs_gdc_realn.bam	52adaba874d3f5bb785f31d4f7ef2307	15408416959	released
66ea6e9e-0b5a-48c9-9027-d9aee7362a71	e7fdb6f5-7d5a-4f7f-b1bb-48481bfca5a2_wxs_gdc_realn.bam	25267c0ce9611d3955a7477160e585c0	15653282253	released
8394c769-cf97-431e-9d79-d21e06da85ee	17a499fb-4149-4741-a598-6be9709674cf_wxs_gdc_realn.bam	505f8395f96255593a9c4136b25ccdf0	11776451873	released
2778daf3-4198-40fa-952b-fc9050cba4c6	f1a6ff39-9f3b-4fba-b5a9-1f9d551002e9_wxs_gdc_realn.bam	3e7cee25f15cfc2827c0817c334edd63	12353299034	released
a6dfe8a0-8e7c-4ffb-9848-9b73dab6da84	1a1db5dc-c338-4de0-aea2-20e78cb094b3_wxs_gdc_realn.bam	4014ea4a34bba322ed839c52283b69c6	20654106309	released
2655731b-5a10-4b8e-99d4-ab8e33bfab63	e4f5461d-4a69-4c1f-806f-ea87f8da0b59_wxs_gdc_realn.bam	5788898fb2b276204325013ada0647a8	7526781738	released
ace0713d-062c-4599-8fb8-541a4863da73	29ea845d-e7df-41a2-b75a-0021efd850f5_wxs_gdc_realn.bam	5e5e0f4f364da9f2efa491baf12734b6	8497869047	released
49211f00-d0b3-4654-a3db-2afcffaee3df	4ea5600d-3af7-4258-ad2c-79b6f9850377_wxs_gdc_realn.bam	025d19f3f83b4eea1690278728099317	14743194671	released
56b14077-cb36-4eda-b7f4-1d3c9c514f50	448fe471-3f4e-4dc8-a4e0-6f147dc93abe_wxs_gdc_realn.bam	056777a11641cc37786fc68f3f6ed4f4	19204317645	released
a4a617e4-e170-4709-907e-ddbbed1102c2	ebacd09f-c204-4cd2-a087-07bc4f2c5b74_wxs_gdc_realn.bam	174687a9a30d8f44e3072ec4722b2653	14290151661	released
4b765c51-8ce9-406a-b0e2-9d8382cdec8f	eba0abbc-a672-4dad-a27c-c5e397fa2438_wxs_gdc_realn.bam	c41e18c03e0d6da253dc01def15dcd15	7273782263	released
283cc073-6c26-49ef-bac8-036f9a531107	5be806c8-5c37-485f-9164-c26a647754f4_wxs_gdc_realn.bam	a59f70c89caeb5ce07264a4c2a775a0b	12227347500	released
0e93c473-55e7-4ecd-94b5-a5844a4d6e6b	1432caf6-3ad9-4f0e-9269-ca42d04f5f18_wxs_gdc_realn.bam	806cf0c64b953b0866f27ad035e336af	10747722878	released
4c2add9d-9d86-4d42-b520-676276d7ea84	f1524ba0-7c74-4551-b72c-fa3dc2801524_wxs_gdc_realn.bam	5fed0d7535f02df42bd79bfd85201dcc	13150517446	released
9e6a0ad4-79d5-414d-92b6-eba981b9d7ce	61324839-e90a-49f2-a9c9-629d7b125fe9_wxs_gdc_realn.bam	3e2f530bd1858dd336c18fd43aa93466	10604692179	released
12f0a9f7-bfab-4f2f-b1dc-97d3b8d90172	9ef3df1c-9999-4d1e-a9f1-4306970996c7_wxs_gdc_realn.bam	5769ef48f98e6a8077eabfb7a550ad9f	10632428317	released
0e8f7eee-1e02-49b8-affa-04baf8fa346f	f1e8febe-171e-484d-a3c7-ff7569805eba_wxs_gdc_realn.bam	7aa2f7c1a7dcb698f584906849752b6d	18813136843	released
f1142ff3-3a98-417d-8a59-c83fb7ca0281	cf1a5be6-dae4-4151-b7c9-c1f7bb8adcb2_wxs_gdc_realn.bam	4cb73f8c8e1b1158218254ea00d1a193	14614325282	released
16a46abf-9e1e-4d2f-ab1d-c9aabc6490e6	9377460a-8497-41b8-b2c2-5f50cfeda1fe_wxs_gdc_realn.bam	48aa1b9c0e8522b0e3bcca292b288aec	19266687747	released
5217c3f2-3ba6-40dc-81db-7a93915e7305	8e119357-c81b-4d46-816a-28e51377424f_wxs_gdc_realn.bam	c7db1603f1e3af45139b58d424cddec9	13110007435	released
d505b712-d44a-431f-ad95-ef5cf1be3f97	cdf9f74f-dc4b-464f-af5f-d333424ae66a_wxs_gdc_realn.bam	82234b0a48ebb5d4913351c206f206d8	11139850149	released
e729f987-755a-4032-a84d-fff609e21ad2	b36e672b-c5d8-4481-bbb3-7be805215212_wxs_gdc_realn.bam	daaf7440269948ba7f24033e37b2ae4b	20362898223	released
73de12b7-2416-4483-be90-1a957705a372	44546828-fa6f-4fcc-931e-b58ffd5e0d0e_wxs_gdc_realn.bam	0d2ce7982f2180268a19822f0adf6b04	12882233954	released
24308bf1-f088-4e97-821e-dc1dd1f516c0	8ad1181e-2e1d-40cb-a18d-9240b5ab1733_wxs_gdc_realn.bam	5a7a424a98c013341825e094a3a3a0e0	14667525092	released
50201b0e-4171-440a-b0c2-6fac601b34db	bbfeacc2-2b94-4c15-aa40-aa9c17508834_wxs_gdc_realn.bam	89b335e60b5463672d8b116a1b83e3af	15137988167	released
4a3d3732-e439-44df-ad33-046a112927c7	d4ddf71a-a282-4e5c-813c-3179137d6cf5_wxs_gdc_realn.bam	6ba18e0aab342a42dfc626572c5eb238	9371410022	released
685fbace-20d7-4bbf-ade0-abdafcdb7bce	675bc0e7-1d68-4813-ade1-ef00ad6f1610_wxs_gdc_realn.bam	a295ac7de056efe316e3af01e3780177	8879863203	released
fe998f98-6f20-4a24-96ce-2640da1ae797	fe7cd95d-937f-458f-9c64-f1649c4c1b15_wxs_gdc_realn.bam	ee8b759b8a520da08057a07e02211da0	6276091510	released
f74a826e-916c-48eb-804d-a2f84d1ac487	91e3cd45-c230-41d6-ad89-9832229abd44_wxs_gdc_realn.bam	5c617a8e6a97f3fb4bbc09ac45dc79c5	7946321484	released
24963564-00f5-42ef-be87-2c7a2a2b76be	29cbef1d-56b7-45cf-8eb4-1c86249942f8_wxs_gdc_realn.bam	92cced067dd0dac9c3ee5ce6885435ce	14686821062	released
3d829ab6-da00-4d11-a8fd-c8bcda263e1e	8a4d3f88-7b08-46cb-a542-b7d3bd68bf09_wxs_gdc_realn.bam	d4115778d1dc177c256187be24426baf	10352711136	released
242aed3c-7d15-4599-9276-fa9106714d5b	a06ce9e1-7c84-4520-aa93-bedc1d91a0f6_wxs_gdc_realn.bam	10cac94d6cc1ed079aaad945cb2efce8	10718064209	released
d5b33762-c27a-4647-a05c-8aa91dd1d34f	ce7b03f8-f3f4-4031-afc1-e6e908218c45_wxs_gdc_realn.bam	6312469bba5b64315e02a71bbbede518	11708514668	released
a52e0147-8f6d-4592-be8a-b6f85a754450	cb2b4f1a-26bc-4d00-ab5e-fcdbd7cb34f0_wxs_gdc_realn.bam	abbd92f060aa7bc17777ac79c795e2df	11954730659	released
92fdb7a1-7855-4a3c-a96c-2fd61997be55	5932e398-bfdc-4fe1-be15-7cd106121d8e_wxs_gdc_realn.bam	6483ac1a969c088a3f95aa1b8e76e170	13694229716	released
128dc717-ad59-4ac3-86be-622cf1046c40	ededa90c-8953-42c7-b96c-1c9295a86248_wxs_gdc_realn.bam	2dcfa42f5a21b03bdd154b3ec65f4b12	11479208437	released
5c33d6fb-5cb9-4153-8828-8a672ab33afc	7561fada-5af6-41a2-883d-38ac844514c1_wxs_gdc_realn.bam	d9862d6f3238e72adcc0b7e16ca40d16	9072914740	released
32ea0e37-d972-4467-82ce-f7678341d955	21525d6f-4222-4e0a-9f07-8adbbd55c54f_wxs_gdc_realn.bam	8ef0a012d6e8157e1cb823f0cebdb2cb	15540194852	released
d7c7bdea-afd5-401f-b1f5-360cbd1b91ef	afafc062-4c58-491a-8c4b-e714591ac2c2_wxs_gdc_realn.bam	78223f8b470cfb5010c17ed68fa3f032	9851763642	released
bfb166ff-7eb4-46e6-a51c-af60bdc34520	dcd1b3dc-f6cd-4f9a-b97f-9025a6dea4a7_wxs_gdc_realn.bam	232a813f1ded620202b7b3e041e92e0c	10143267518	released
73ebd8f6-6778-46b7-a01e-e0f14aed56fc	92460195-9483-4350-a20b-580c4a8835c7_wxs_gdc_realn.bam	c5fb25ee0b1b3e65091e7fce3adbd554	13182363016	released
f79041ca-9c50-43c3-8c37-6ebdf76d3be6	7ddb9298-1db6-475b-940a-6f9be01c0401_wxs_gdc_realn.bam	f6b0e37e2d7604d79f42916b6b91a85a	10906693885	released
dcb8b8e2-93e2-4b3d-a473-71893613f9eb	1efdb2f8-6199-4a84-b815-44111b99465e_wxs_gdc_realn.bam	84cede802b6d954916456363f96d75d1	11243703976	released
c583a866-c58c-4988-9e55-8fe9878db80f	264520a6-75e4-4059-8151-8fd7eb8d3f34_wxs_gdc_realn.bam	ccef70708168e82154f81ba8624d969c	13341142546	released
f76f125c-be8b-40f7-aa6d-b34afa1de4b7	f962ffcd-4a7a-42a8-b9c0-dc3c38e4a2e4_wxs_gdc_realn.bam	105a3052bac627a645f8bf55e7eebd4e	11785503522	released
f0a2f7f1-a0fd-4a1c-b52d-d8523ebdccbe	3f106a7b-f2d9-4cd0-afd0-b94f40f4f3a8_wxs_gdc_realn.bam	599c9b9cab69f08b6ba8552e98219a19	12732312291	released
2f7449a1-b8eb-45f2-9d99-9b566ad2e46d	20d9afb2-1c93-407c-b1c3-8e49a772a0cb_wxs_gdc_realn.bam	2b02d9f6ab658f0192dec6ab1b658ce0	12154715130	released
8256d8ef-0db5-4f43-9291-96beb10f44bc	26bda3c7-7369-4096-8905-08248b5bb9f1_wxs_gdc_realn.bam	dd3657c5914b5a1166e2b127dce7484f	12320088801	released
4244f141-6fbb-4142-9cb0-5205b368524a	42ba974f-6498-47cd-a5ce-c44d57c41845_wxs_gdc_realn.bam	c9b305e843477a6aa344e6bcbcb7bf73	12392431450	released
0560992f-3c9f-4eae-83c5-5af6b294671b	5675541a-3c3e-4555-87f3-aa17ac4dc19f_wxs_gdc_realn.bam	62871b8c0a45c2783d4010177af8f2e2	11554823923	released
75c47e4a-8b6d-4d9c-8e97-d484829996ae	a06ba712-79fb-4338-a707-cc1f490cc7c3_wxs_gdc_realn.bam	065d40a7bc40887c22a020ed842b8816	11461024231	released
b9ae98eb-c111-4faf-ac48-13eef2ed44a0	0afabd62-8454-41b4-9b02-386681589688_wxs_gdc_realn.bam	be3d1e0c6ddcc9beb6051267eeeae37b	12299141120	released
af5edba2-1391-462d-a8b5-0999660ed8bb	9b1beb47-db8c-4229-9540-464178a54508_wxs_gdc_realn.bam	c66d30cb7350a306d3b8aa144fb00051	22432142506	released
6c1cb13c-5384-485b-a176-a79fb3feedf1	303b1fd2-d7a6-4166-a8a9-6f4677850cdd_wxs_gdc_realn.bam	abfe2503b2c87003e3c314135e09b6fd	19252942780	released
c0023c57-478a-4840-b73c-53be20509e5a	5b44f9fa-9d2d-47ec-9f84-9522be64e430_wxs_gdc_realn.bam	e4d1dc2e07f218335c62fdeec2e33e41	18312144595	released
dcae22ed-2e61-4cde-8461-ad88b0096232	7f7b91c5-346e-478d-b9ca-a3df2010d480_wxs_gdc_realn.bam	d034f8d172f10df0db84e2abd688f12f	9908118159	released
